name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Hauz Khas Social,"Continental, American, Asian, North Indian",1600,1,1,3,4.3,Very Good,7931,New Delhi,Hauz Khas Village,28.5542851000,77.1944706000,Rs.,Premium,Continental,Very Good,Has Delivery
Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe",1500,0,1,3,4.5,Excellent,778,New Delhi,Rajouri Garden,28.6471325000,77.1177015000,Rs.,Premium,Thai,Excellent,No Delivery
The Hudson Cafe,"Cafe, Italian, Continental, Chinese",850,1,0,2,4.4,Very Good,1537,New Delhi,Delhi University-GTB Nagar,28.6949468000,77.2043172000,Rs.,Moderate,Cafe,Very Good,Has Delivery
Summer House Cafe,"Italian, Continental",1850,0,1,3,4.1,Very Good,1823,New Delhi,Hauz Khas,28.5525204000,77.2038090000,Rs.,Premium,Italian,Very Good,No Delivery
38 Barracks,"North Indian, Italian, Asian, American",1600,0,1,3,4.4,Very Good,840,New Delhi,Connaught Place,28.6330248887,77.2228584811,Rs.,Premium,North Indian,Very Good,No Delivery
Spezia Bistro,"Cafe, Continental, Chinese, Italian",900,1,1,2,4.6,Excellent,1071,New Delhi,Delhi University-GTB Nagar,28.6948390000,77.2041413000,Rs.,Moderate,Cafe,Excellent,Has Delivery
Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",2000,0,0,4,4.6,Excellent,2093,Gurgaon,"Global Foyer Mall, Golf Course Road",28.4602710000,77.0950273000,Rs.,Luxury,Finger Food,Excellent,No Delivery
The Wine Company,"Italian, European",2000,0,1,4,2.4,Poor,2412,Gurgaon,"Cyber Hub, DLF Cyber City",28.4962285000,77.0890476000,Rs.,Luxury,Italian,Poor,No Delivery
Farzi Cafe,Modern Indian,2200,0,0,4,4.4,Very Good,1942,New Delhi,Connaught Place,28.6323984000,77.2214296000,Rs.,Luxury,Modern Indian,Very Good,No Delivery
Indian Grill Room,"North Indian, Mughlai",1800,1,1,3,4.5,Excellent,1262,Gurgaon,"Suncity Business Tower, Golf Course Road",28.4334574000,77.1052774000,Rs.,Premium,North Indian,Excellent,Has Delivery
Cafeteria & Co.,"Continental, Mexican",900,0,0,2,4.6,Excellent,1136,New Delhi,Vijay Nagar,28.6944707000,77.2043384000,Rs.,Moderate,Continental,Excellent,No Delivery
Farzi Cafe,Modern Indian,2200,0,0,4,4.3,Very Good,4385,Gurgaon,"Cyber Hub, DLF Cyber City",28.4952079000,77.0886879000,Rs.,Luxury,Modern Indian,Very Good,No Delivery
Molecule Air Bar,"Continental, North Indian, Italian, Chinese",1500,0,1,3,4.2,Very Good,1809,Gurgaon,Sector 29,28.4679344000,77.0642265000,Rs.,Premium,Continental,Very Good,No Delivery
HotMess,"North Indian, Mediterranean, Asian, Fast Food",1900,1,1,3,4.3,Very Good,1129,New Delhi,Connaught Place,28.6326547000,77.2222380000,Rs.,Premium,North Indian,Very Good,Has Delivery
My Bar Headquarters,"North Indian, Mughlai, Chinese",1000,0,0,3,3.7,Good,3010,New Delhi,Connaught Place,28.6307210000,77.2198128000,Rs.,Premium,North Indian,Good,No Delivery
FLYP@MTV,"North Indian, Mexican, Italian, Continental",1200,0,1,3,3.9,Good,1379,New Delhi,Connaught Place,28.6303331283,77.2207207605,Rs.,Premium,North Indian,Good,No Delivery
Tamasha,"Finger Food, North Indian, Continental, Italian",1600,0,1,3,3.7,Good,1801,New Delhi,Connaught Place,28.6296060000,77.2217440000,Rs.,Premium,Finger Food,Good,No Delivery
The Barbeque Company,"North Indian, Chinese, Continental",1200,0,0,3,4.2,Very Good,621,New Delhi,Jail Road,28.6255344000,77.1014229000,Rs.,Premium,North Indian,Very Good,No Delivery
Saravana Bhavan,South Indian,500,1,0,2,4.3,Very Good,5172,New Delhi,Connaught Place,28.6323578000,77.2163096000,Rs.,Moderate,South Indian,Very Good,Has Delivery
Odeon Social,"Continental, American, Asian, North Indian",1600,0,1,3,4.1,Very Good,1959,New Delhi,Connaught Place,28.6342487678,77.2209088504,Rs.,Premium,Continental,Very Good,No Delivery
Spice Kraft,"Continental, Middle Eastern, Asian",1200,0,0,3,4.8,Excellent,1424,Kolkata,Ballygunge,22.5264613000,88.3644527000,Rs.,Premium,Continental,Excellent,No Delivery
Hoppipola,"Italian, Mexican, American, Mediterranean",1200,1,0,3,4.2,Very Good,1103,Kolkata,"Acropolis Mall, Kasba ",22.5145853388,88.3933101967,Rs.,Premium,Italian,Very Good,Has Delivery
Barbeque Nation,"North Indian, Chinese",1600,0,0,3,4.9,Excellent,1753,Kolkata,Park Street Area,22.5510837417,88.3541271463,Rs.,Premium,North Indian,Excellent,No Delivery
Peter Cat,"Continental, North Indian",1000,1,0,3,4.3,Very Good,7574,Kolkata,Park Street Area,22.5526719000,88.3528850000,Rs.,Premium,Continental,Very Good,Has Delivery
What's Up,"Cafe, Chinese, Continental",1000,0,1,3,4.0,Very Good,1126,Kolkata,Southern Avenue,22.5141185869,88.3625043556,Rs.,Premium,Cafe,Very Good,No Delivery
6 Ballygunge Place,Bengali,1000,1,1,3,4.4,Very Good,1778,Kolkata,Ballygunge,22.5278931461,88.3686281741,Rs.,Premium,Bengali,Very Good,Has Delivery
TGI Friday's,"Tex-Mex, American",1800,1,1,3,4.0,Very Good,911,Kolkata,Elgin,22.5379599453,88.3498426527,Rs.,Premium,Tex-Mex,Very Good,Has Delivery
The Irish House,"European, American",1900,0,0,3,4.4,Very Good,2224,Kolkata,"Quest Mall, Ballygunge",22.5391289434,88.3655070886,Rs.,Premium,European,Very Good,No Delivery
Asia Kitchen by Mainland China,"Asian, Chinese",1400,1,0,3,4.6,Excellent,945,Kolkata,"Acropolis Mall, Kasba ",22.5146875471,88.3932937682,Rs.,Premium,Asian,Excellent,Has Delivery
India Restaurant,"Biryani, North Indian, Chinese, Mughlai",800,1,1,2,4.6,Excellent,1219,Kolkata,Kidderpore,22.5389989000,88.3223365000,Rs.,Moderate,Biryani,Excellent,Has Delivery
Nawwarah,"Chinese, Cafe, North Indian, Desserts",1000,0,0,3,3.9,Good,326,Kolkata,Ballygunge,22.5387310000,88.3648780000,Rs.,Premium,Chinese,Good,No Delivery
Santa's Fantasea,"Seafood, Chinese",800,0,0,2,4.2,Very Good,2584,Kolkata,Golpark,22.5150818224,88.3678302169,Rs.,Moderate,Seafood,Very Good,No Delivery
Mumbai Local,"North Indian, Chinese, Street Food",1200,0,1,3,4.2,Very Good,704,Kolkata,Ballygunge,22.5336623000,88.3662166000,Rs.,Premium,North Indian,Very Good,No Delivery
Sigree Global Grill,North Indian,1600,0,1,3,4.1,Very Good,1616,Kolkata,"Silver Spring Arcade, Science City Area",22.5490998000,88.4004673000,Rs.,Premium,North Indian,Very Good,No Delivery
BarBQ,"Chinese, North Indian",900,1,0,2,4.2,Very Good,5288,Kolkata,Park Street Area,22.5529963761,88.3523102850,Rs.,Moderate,Chinese,Very Good,Has Delivery
Mocambo,"Continental, Italian, North Indian",1050,1,0,3,3.5,Good,4464,Kolkata,Park Street Area,22.5532273000,88.3532734000,Rs.,Premium,Continental,Good,Has Delivery
Gabbar's Bar & Kitchen,"North Indian, Chinese, Mexican, Italian",1400,0,1,3,4.4,Very Good,1484,Kolkata,Camac Street Area,22.5471855000,88.3506798000,Rs.,Premium,North Indian,Very Good,No Delivery
Ocean Grill,"Continental, Seafood, North Indian, Asian",1500,0,1,3,3.6,Good,1040,Kolkata,"Sector 5, Salt Lake",22.5693667858,88.4331869334,Rs.,Premium,Continental,Good,No Delivery
Flame & Grill,"North Indian, Continental",1500,0,1,3,3.9,Good,1064,Kolkata,"Mani Square Mall, Kankurgachi",22.5778208000,88.4005810000,Rs.,Premium,North Indian,Good,No Delivery
Farzi Cafe,Modern Indian,1500,0,0,3,4.3,Very Good,1240,Mumbai,Lower Parel,19.0035171959,72.8276499733,Rs.,Premium,Modern Indian,Very Good,No Delivery
The Fusion Kitchen,"North Indian, Italian, Chinese, Mexican",1000,1,1,3,4.7,Excellent,2083,Mumbai,Borivali West,19.2545670000,72.8489230000,Rs.,Premium,North Indian,Excellent,Has Delivery
Tea Villa Cafe,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,1,1,3,4.1,Very Good,2040,Mumbai,"Hill Road, Bandra West",19.0558306414,72.8339840099,Rs.,Premium,Cafe,Very Good,Has Delivery
Mumbai Vibe,"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",1000,0,1,3,3.8,Good,146,Mumbai,"Linking Road, Bandra West",19.0658375116,72.8326579928,Rs.,Premium,Cafe,Good,No Delivery
38 Degree East,"North Indian, Chinese, Thai",1000,0,1,3,3.8,Good,181,Mumbai,Powai,19.1219986598,72.9084926386,Rs.,Premium,North Indian,Good,No Delivery
Mirchi And Mime,"North Indian, South Indian, Mughlai",1500,0,0,3,4.9,Excellent,3244,Mumbai,Powai,19.1200826821,72.9073853418,Rs.,Premium,North Indian,Excellent,No Delivery
R' ADDA,"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",1200,0,0,3,4.0,Very Good,536,Mumbai,"Ramee Guestline Hotel, Juhu",19.1093000000,72.8254510000,Rs.,Premium,Street Food,Very Good,No Delivery
The American Joint,"Healthy Food, American, Burger, Salad",850,0,1,2,3.4,Average,170,Mumbai,Borivali West,19.2238399000,72.8413473000,Rs.,Moderate,Healthy Food,Average,No Delivery
Grandmama's Cafe,"Continental, Italian",1100,0,0,3,3.8,Good,617,Mumbai,Juhu,19.0914575172,72.8278075531,Rs.,Premium,Continental,Good,No Delivery
SpiceKlub,North Indian,1500,1,0,3,4.2,Very Good,3370,Mumbai,Lower Parel,18.9942366712,72.8255528212,Rs.,Premium,North Indian,Very Good,Has Delivery
Stacks And Racks,"American, Burger, Fast Food",500,0,0,2,4.6,Excellent,413,Mumbai,Malad West,19.1812996465,72.8361914909,Rs.,Moderate,American,Excellent,No Delivery
Cafe Hydro,Asian,1000,0,0,3,4.0,Very Good,156,Mumbai,Borivali East,19.2213148836,72.8623812273,Rs.,Premium,Asian,Very Good,No Delivery
Joey's Pizza,Pizza,800,1,0,2,4.5,Excellent,2662,Mumbai,Malad West,19.1783210000,72.8347150000,Rs.,Moderate,Pizza,Excellent,Has Delivery
The Rolling Pin,"Bakery, Desserts, Cafe",700,1,0,2,3.9,Good,2076,Mumbai,Lower Parel,18.9940489948,72.8252027929,Rs.,Moderate,Bakery,Good,Has Delivery
145 Kala Ghoda,"Fast Food, Beverages, Desserts",1500,0,0,3,4.2,Very Good,1606,Mumbai,Fort,18.9275839910,72.8325845674,Rs.,Premium,Fast Food,Very Good,No Delivery
The English Department Bar & Diner,"Italian, Continental, Mexican, Japanese, American, British",1500,0,1,3,3.9,Good,885,Mumbai,Malad West,19.1762686853,72.8367208689,Rs.,Premium,Italian,Good,No Delivery
Flechazo,"Asian, Mediterranean, North Indian",1200,0,1,3,4.4,Very Good,983,Bangalore,Marathahalli,12.9753769124,77.6966639981,Rs.,Premium,Asian,Very Good,No Delivery
Toit,"Italian, American, Pizza",2000,0,0,4,4.8,Excellent,10934,Bangalore,Indiranagar,12.9791658020,77.6407087594,Rs.,Luxury,Italian,Excellent,No Delivery
Truffles,"American, Burger, Cafe",800,1,0,2,4.7,Excellent,9667,Bangalore,Koramangala 5th Block,12.9332976396,77.6142926887,Rs.,Moderate,American,Excellent,Has Delivery
ECHOES Koramangala,"Continental, American, Italian, North Indian, Chinese, Cafe",950,0,0,2,4.7,Excellent,276,Bangalore,Koramangala 5th Block,12.9341790000,77.6157970000,Rs.,Moderate,Continental,Excellent,No Delivery
Big Brewsky,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800,1,1,3,4.5,Excellent,5705,Bangalore,Sarjapur Road,12.9130409617,77.6832368597,Rs.,Premium,Finger Food,Excellent,Has Delivery
Farzi Cafe,Modern Indian,1500,0,0,3,4.4,Very Good,754,Bangalore,UB City,12.9721612000,77.5960137000,Rs.,Premium,Modern Indian,Very Good,No Delivery
Koramangala Social,"Continental, American",1500,0,0,3,4.5,Excellent,1288,Bangalore,Koramangala 7th Block,12.9356618137,77.6141304150,Rs.,Premium,Continental,Excellent,No Delivery
Onesta,"Pizza, Cafe, Italian",600,0,0,2,4.6,Excellent,627,Bangalore,New BEL Road,13.0291977000,77.5709967000,Rs.,Moderate,Pizza,Excellent,No Delivery
Three Dots & A Dash,"European, Continental",1300,0,1,3,3.9,Good,1354,Bangalore,Indiranagar,12.9804102389,77.6404888183,Rs.,Premium,European,Good,No Delivery
Glen's Bakehouse,"Bakery, Desserts, Cafe",800,0,0,2,4.0,Very Good,3533,Bangalore,Indiranagar,12.9790955593,77.6406249404,Rs.,Moderate,Bakery,Very Good,No Delivery
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",1400,0,0,3,4.6,Excellent,6907,Bangalore,Marathahalli,12.9499339564,77.6993861049,Rs.,Premium,European,Excellent,No Delivery
Eat Street,"North Indian, Chinese, Italian, Street Food, Desserts",400,1,0,1,4.3,Very Good,753,Bangalore,Koramangala 6th Block,12.9394960000,77.6259990000,Rs.,Budget,North Indian,Very Good,Has Delivery
Hoot,"Continental, Italian, North Indian",1400,0,0,3,3.9,Good,405,Bangalore,Sarjapur Road,12.9142640000,77.6784000000,Rs.,Premium,Continental,Good,No Delivery
Communiti,Continental,1200,0,0,3,4.2,Very Good,334,Bangalore,Residency Road,12.9725315316,77.6081785932,Rs.,Premium,Continental,Very Good,No Delivery
The Fatty Bao - Asian Gastro Bar,Asian,2400,1,1,4,4.7,Excellent,2369,Bangalore,Indiranagar,12.9702206364,77.6453955844,Rs.,Luxury,Asian,Excellent,Has Delivery
Sultans of Spice,"North Indian, Mughlai",1300,1,1,3,4.1,Very Good,2416,Bangalore,"BluPetal Hotel, Koramangala",12.9332839153,77.6154279336,Rs.,Premium,North Indian,Very Good,Has Delivery
Bombay Brasserie,Modern Indian,1500,1,0,3,4.2,Very Good,231,Bangalore,Indiranagar,12.9703240000,77.6457480000,Rs.,Premium,Modern Indian,Very Good,Has Delivery
The Black Pearl,"North Indian, European, Mediterranean",1400,0,1,3,4.1,Very Good,5385,Bangalore,Koramangala 5th Block,12.9343645434,77.6161551476,Rs.,Premium,North Indian,Very Good,No Delivery
Farzi Cafe,Modern Indian,1500,0,0,3,4.3,Very Good,868,Pune,Kalyani Nagar,18.5436256000,73.9051007000,Rs.,Premium,Modern Indian,Very Good,No Delivery
Le Plaisir,"European, Desserts",1000,0,0,3,4.8,Excellent,2510,Pune,Deccan Gymkhana,18.5142099831,73.8384293765,Rs.,Premium,European,Excellent,No Delivery
Tales & Spirits,"Italian, Continental, Cafe",800,1,1,2,4.1,Very Good,997,Pune,Senapati Bapat Road,18.5309626000,73.8289719000,Rs.,Moderate,Italian,Very Good,Has Delivery
The Urban Foundry,"North Indian, Asian",1500,0,1,3,4.5,Excellent,1099,Pune,"Balewadi High Street, Balewadi",18.5691562017,73.7747228891,Rs.,Premium,North Indian,Excellent,No Delivery
Barbeque Ville,North Indian,1000,0,1,3,4.4,Very Good,208,Pune,Wakad,18.5927182000,73.7735722000,Rs.,Premium,North Indian,Very Good,No Delivery
The Little Next Door,"Finger Food, Italian, Spanish, Greek",1000,0,1,3,4.1,Very Good,1143,Pune,Kalyani Nagar,18.5469469690,73.9006264508,Rs.,Premium,Finger Food,Very Good,No Delivery
Apache,Finger Food,1000,0,1,3,4.1,Very Good,377,Pune,Viman Nagar,18.5639345000,73.9153669000,Rs.,Premium,Finger Food,Very Good,No Delivery
Kargo,"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",900,0,1,2,4.4,Very Good,635,Pune,Koregaon Park,18.5365617510,73.8964847848,Rs.,Moderate,Charcoal Grill,Very Good,No Delivery
Mineority By Saby,"North Indian, North Eastern, Continental",1400,0,1,3,4.2,Very Good,306,Pune,Kalyani Nagar,18.5462575227,73.9043372869,Rs.,Premium,North Indian,Very Good,No Delivery
Agent Jack's Bar,"Continental, North Indian, Italian",1200,0,1,3,4.2,Very Good,1531,Pune,Senapati Bapat Road,18.5367185000,73.8303275000,Rs.,Premium,Continental,Very Good,No Delivery
Teddy Boy,"North Indian, Continental, Finger Food",1200,0,1,3,3.6,Good,507,Pune,Baner,18.5514399035,73.8048551604,Rs.,Premium,North Indian,Good,No Delivery
Sautéed Stories,"Cafe, Italian, Continental",850,1,0,2,4.2,Very Good,583,Pune,Koregaon Park,18.5392993317,73.8979019970,Rs.,Moderate,Cafe,Very Good,Has Delivery
Barbeque Nation,"North Indian, Mughlai",1700,0,0,3,4.5,Excellent,2847,Pune,"R Deccan Mall, JM Road",18.5162157532,73.8425267860,Rs.,Premium,North Indian,Excellent,No Delivery
Effingut Brewerkz,"Continental, North Indian, Mughlai, Burmese",1800,1,0,3,4.3,Very Good,1531,Pune,Koregaon Park,18.5340800256,73.8985202461,Rs.,Premium,Continental,Very Good,Has Delivery
The Sassy Spoon,"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",1500,0,1,3,4.1,Very Good,140,Pune,Koregaon Park,18.5338110000,73.8993150000,Rs.,Premium,European,Very Good,No Delivery
18 Degrees Resto Lounge,"North Indian, Mediterranean, Chinese",2100,1,1,4,3.6,Good,1566,Pune,"Spot 18 Mall, Pimple Saudagar",18.5934814882,73.7859009951,Rs.,Luxury,North Indian,Good,Has Delivery
Chili's,"Mexican, American, Tex-Mex",1800,1,1,3,4.5,Excellent,1439,Pune,"Phoenix Market City, Viman Nagar",18.5624502000,73.9166191000,Rs.,Premium,Mexican,Excellent,Has Delivery
German Bakery Wunderbar,"Italian, German, Continental",1000,0,0,3,4.0,Very Good,1583,Pune,Law College Road,18.5200164465,73.8305470347,Rs.,Premium,Italian,Very Good,No Delivery
Blue Water,"North Indian, Chinese, Continental",1500,1,1,3,4.2,Very Good,487,Pune,Ravet,18.6362151260,73.7510812283,Rs.,Premium,North Indian,Very Good,Has Delivery
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",1500,0,0,3,4.9,Excellent,200,Hyderabad,Banjara Hills,17.4123304512,78.4496539459,Rs.,Premium,European,Excellent,No Delivery
Chili's,"Mexican, American, Tex-Mex, Burger",1800,1,1,3,4.7,Excellent,1932,Hyderabad,Banjara Hills,17.4228191185,78.4495778382,Rs.,Premium,Mexican,Excellent,Has Delivery
Prost Brew Pub,"Italian, Continental, Chinese",1200,0,1,3,4.1,Very Good,594,Hyderabad,Jubilee Hills,17.4314765256,78.4003502503,Rs.,Premium,Italian,Very Good,No Delivery
United Kitchens of India,"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",1100,0,1,3,4.1,Very Good,1431,Hyderabad,Jubilee Hills,17.4262275577,78.4074949846,Rs.,Premium,North Indian,Very Good,No Delivery
Mocha Bar,"North Indian, Continental, Italian",1200,0,1,3,4.2,Very Good,221,Hyderabad,Jubilee Hills,17.4304484320,78.4182134271,Rs.,Premium,North Indian,Very Good,No Delivery
Dock Forty Five,"Continental, Asian",1400,0,0,3,4.2,Very Good,79,Hyderabad,Jubilee Hills,17.4282943429,78.4044225141,Rs.,Premium,Continental,Very Good,No Delivery
The Fisherman's Wharf,"Seafood, Continental, Goan, Asian, Andhra",1500,0,1,3,3.8,Good,144,Hyderabad,Gachibowli,17.4110278000,78.3296446000,Rs.,Premium,Seafood,Good,No Delivery
The Grand Trunk Road,"North Indian, Chinese",1100,1,0,3,3.9,Good,616,Hyderabad,Madhapur,17.4519757709,78.3858830854,Rs.,Premium,North Indian,Good,Has Delivery
Sahib’s Barbeque by Ohri’s,"Hyderabadi, Awadhi",1400,0,1,3,4.1,Very Good,571,Hyderabad,Ohri' Hitech City,17.4508505600,78.3793472126,Rs.,Premium,Hyderabadi,Very Good,No Delivery
Exotica,"Mughlai, North Indian, Chinese",1500,1,1,3,4.3,Very Good,3374,Hyderabad,"12th Square Building, Banjara Hills",17.4103706573,78.4372252598,Rs.,Premium,Mughlai,Very Good,Has Delivery
Saffron Mantra,"North Indian, Chinese",850,1,1,2,4.4,Very Good,494,Secunderabad,Karkhana,17.4589981000,78.5003662000,Rs.,Moderate,North Indian,Very Good,Has Delivery
Conçu,"Bakery, Desserts",600,0,0,2,4.8,Excellent,1023,Hyderabad,Jubilee Hills,17.4316681330,78.4083214402,Rs.,Moderate,Bakery,Excellent,No Delivery
Jonathan's Kitchen - Holiday Inn Express & Suites,"North Indian, Japanese, Italian",1900,0,1,3,4.3,Very Good,860,Hyderabad,Holiday Inn Express & Suites,17.4241140000,78.3475536000,Rs.,Premium,North Indian,Very Good,No Delivery
Olive Bistro,"Mediterranean, Italian, European",2000,1,1,4,4.4,Very Good,2218,Hyderabad,Jubilee Hills,17.4295847000,78.3926214000,Rs.,Luxury,Mediterranean,Very Good,Has Delivery
Pine & Dine,"North Indian, South Indian, Chinese",700,1,1,2,4.0,Very Good,682,Hyderabad,Hitech City,17.4558938045,78.3754673973,Rs.,Moderate,North Indian,Very Good,Has Delivery
Heart Cup Coffee,"Cafe, Continental, North Indian, Chinese",1800,1,0,3,4.2,Very Good,1859,Hyderabad,Kondapur,17.4597097284,78.3688547462,Rs.,Premium,Cafe,Very Good,Has Delivery
Coffee Cup,"Cafe, Continental",800,0,1,2,4.6,Excellent,1408,Secunderabad,Sainikpuri,17.4832159000,78.5521107000,Rs.,Moderate,Cafe,Excellent,No Delivery
Churrolto,"Desserts, Cafe, Mexican",500,0,0,2,4.7,Excellent,344,Hyderabad,Madhapur,17.4408270000,78.3933910000,Rs.,Moderate,Desserts,Excellent,No Delivery
Coal Barbecues,"North Indian, Mediterranean, Asian, Arabian",1400,0,0,3,4.6,Excellent,1267,Chennai,Velachery,12.9860468817,80.2181138098,Rs.,Premium,North Indian,Excellent,No Delivery
Maplai,"South Indian, Chettinad",1000,0,1,3,4.2,Very Good,1714,Chennai,Nungambakkam,13.0641805556,80.2364416667,Rs.,Premium,South Indian,Very Good,No Delivery
Haunted,"North Indian, Chinese, Arabian",800,1,1,2,3.8,Good,519,Chennai,Anna Nagar East,13.0864385000,80.2206723000,Rs.,Moderate,North Indian,Good,Has Delivery
Chili's,"Mexican, American, Tex-Mex, Burger",1700,1,1,3,4.8,Excellent,1262,Chennai,"Express Avenue Mall,  Royapettah",13.0586160000,80.2641510000,Rs.,Premium,Mexican,Excellent,Has Delivery
Basil With A Twist,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1500,1,1,3,4.5,Excellent,1210,Chennai,T. Nagar,13.0496453469,80.2422684372,Rs.,Premium,Continental,Excellent,Has Delivery
Pind,"North Indian, Chinese",900,0,1,2,4.0,Very Good,2272,Chennai,Velachery,12.9759960000,80.2218980000,Rs.,Moderate,North Indian,Very Good,No Delivery
That Madras Place,"European, Italian, Desserts",800,1,1,2,4.2,Very Good,1810,Chennai,Adyar,13.0058006000,80.2507440000,Rs.,Moderate,European,Very Good,Has Delivery
Palmshore,"North Indian, Mughlai, Chinese, South Indian",850,1,1,2,4.2,Very Good,841,Chennai,Ashok Nagar,13.0297798484,80.2088115737,Rs.,Moderate,North Indian,Very Good,Has Delivery
AB's - Absolute Barbecues,"North Indian, European, Mediterranean",1600,0,0,3,4.9,Excellent,859,Chennai,Velachery,12.9816150000,80.2315980000,Rs.,Premium,North Indian,Excellent,No Delivery
Bombay Brasserie,North Indian,1200,1,1,3,4.6,Excellent,1753,Chennai,Nungambakkam,13.0667620000,80.2518650000,Rs.,Premium,North Indian,Excellent,Has Delivery
Fusilli Reasons,Italian,350,0,0,1,4.6,Excellent,1510,Chennai,Kilpauk,13.0818777778,80.2485194444,Rs.,Budget,Italian,Excellent,No Delivery
Barbeque Nation,"North Indian, Continental",2000,0,0,4,4.4,Very Good,3848,Chennai,T. Nagar,13.0454790000,80.2331100000,Rs.,Luxury,North Indian,Very Good,No Delivery
Paradise,"Biryani, North Indian",900,1,0,2,3.8,Good,1317,Chennai,Perungudi,12.9727929068,80.2499821410,Rs.,Moderate,Biryani,Good,Has Delivery
Writer's Cafe,"Cafe, European",450,1,0,1,4.2,Very Good,191,Chennai,Gopalapuram,13.0543471404,80.2572207525,Rs.,Budget,Cafe,Very Good,Has Delivery
Kaidi Kitchen,"Italian, Mexican, Chinese, Thai, North Indian",1500,1,1,3,4.0,Very Good,1820,Chennai,Mylapore,13.0446940000,80.2614700000,Rs.,Premium,Italian,Very Good,Has Delivery
Ciclo Cafe,"Cafe, Continental",1100,0,0,3,4.1,Very Good,1004,Chennai,Kotturpuram,13.0223944444,80.2424388889,Rs.,Premium,Cafe,Very Good,No Delivery
Pantry d'or,"Continental, Cafe, Italian, Desserts",750,1,1,2,4.4,Very Good,1504,Chennai,Anna Nagar East,13.0918088000,80.2191037000,Rs.,Moderate,Continental,Very Good,Has Delivery
L'amandier,"European, Cafe, Italian",1200,1,1,3,4.3,Very Good,1607,Chennai,RA Puram,13.0270177333,80.2547906712,Rs.,Premium,European,Very Good,Has Delivery
Vintage Machine,"Italian, American, Lebanese",1000,0,0,3,4.3,Very Good,887,Lucknow,Gomti Nagar,26.8536376008,81.0004396542,Rs.,Premium,Italian,Very Good,No Delivery
Barbeque Nation,North Indian,1600,0,0,4,4.7,Excellent,1069,Lucknow,"Riverside Mall, Gomti Nagar",26.8530070000,80.9731850000,Rs.,Luxury,North Indian,Excellent,No Delivery
Spice Caves,"North Indian, Chinese, Mughlai",1200,0,0,3,4.2,Very Good,691,Lucknow,Gomti Nagar,26.8533839458,80.9988571509,Rs.,Premium,North Indian,Very Good,No Delivery
Royal Sky,"North Indian, Mughlai, Chinese, Continental",1100,0,0,3,4.2,Very Good,762,Lucknow,Lalbagh,26.8501916667,80.9408861111,Rs.,Premium,North Indian,Very Good,No Delivery
The Cherry Tree Cafe,"Cafe, Bakery",400,0,0,2,4.1,Very Good,288,Lucknow,Hazratganj,26.8520000000,80.9415000000,Rs.,Moderate,Cafe,Very Good,No Delivery
Grandson of Tunday Kababi,"Mughlai, Lucknowi",300,0,0,1,4.9,Excellent,1057,Lucknow,Aminabad,26.8485055556,80.9274305556,Rs.,Budget,Mughlai,Excellent,No Delivery
Bar Bar,"Cafe, Chinese, Thai, North Indian, Continental",1000,0,0,3,4.0,Very Good,79,Lucknow,Hazratganj,0.0000000000,0.0000000000,Rs.,Premium,Cafe,Very Good,No Delivery
Underdoggs Sports Bar & Grill,"Mediterranean, Italian, American",1300,0,0,3,4.3,Very Good,124,Lucknow,Gomti Nagar,0.0000000000,0.0000000000,Rs.,Premium,Mediterranean,Very Good,No Delivery
Dastarkhwan,Mughlai,400,0,0,2,4.4,Very Good,818,Lucknow,Hazratganj,26.8526388889,80.9368888889,Rs.,Moderate,Mughlai,Very Good,No Delivery
L 14 - Renaissance Lucknow Hotel,"North Indian, Continental, South Indian, Chinese, Thai, Asian",2000,0,0,4,4.2,Very Good,149,Lucknow,Renaissance Lucknow Hotel,26.8526920000,80.9730270000,Rs.,Luxury,North Indian,Very Good,No Delivery
The Chocolate Heaven,"Cafe, Italian, Desserts",400,0,0,2,4.1,Very Good,165,Lucknow,Gomti Nagar,26.8558534680,81.0008741721,Rs.,Moderate,Cafe,Very Good,No Delivery
Colours by Royal Cafe - Royal Inn,"North Indian, Mughlai, Chinese",1000,0,0,3,4.2,Very Good,411,Lucknow,"Royal Inn, Hazratganj",26.8559570000,80.9450990000,Rs.,Premium,North Indian,Very Good,No Delivery
Cappuccino Blast,"Cafe, Fast Food",700,0,0,2,4.0,Very Good,587,Lucknow,Sadar Bazaar,26.8346380000,80.9470290000,Rs.,Moderate,Cafe,Very Good,No Delivery
