name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
34 Parkstreet Lane,Fast Food,250,0,0,1,3.2,Average,27,New Delhi,Hauz Khas,28.5602677000,77.2096084000,Rs.,Budget,Fast Food,Average,No Delivery
DEL - Roseate House,"Continental, American, North Indian",3000,0,1,4,3.6,Good,30,New Delhi,"Roseate House, Aerocity",28.5508020000,77.1205330000,Rs.,Luxury,Continental,Good,No Delivery
Viva Deli - Holiday Inn,Bakery,1000,0,0,3,3.3,Average,30,New Delhi,"Holiday Inn, Aerocity",28.5503270000,77.1227930000,Rs.,Premium,Bakery,Average,No Delivery
Slounge - Lemon Tree Premier,North Indian,1000,0,1,3,3.5,Good,26,New Delhi,"Lemon Tree Premier, Aerocity",28.5520360000,77.1209110000,Rs.,Premium,North Indian,Good,No Delivery
Clever Fox Cafe,"North Indian, Continental, Chinese",900,0,1,2,3.2,Average,26,New Delhi,Aerocity,28.5516900000,77.1206420000,Rs.,Moderate,North Indian,Average,No Delivery
Stallion - Pride Plaza Hotel,North Indian,2500,0,1,4,3.1,Average,7,New Delhi,"Pride Plaza Hotel, Aerocity",28.5527110000,77.1229340000,Rs.,Luxury,North Indian,Average,No Delivery
Bella Italia,"Fast Food, Italian, Pizza",550,0,0,2,3.2,Average,33,New Delhi,Aerocity,28.5544630000,77.0878970000,Rs.,Moderate,Fast Food,Average,No Delivery
Biryani Blues,"Biryani, Hyderabadi",1000,0,0,3,3.6,Good,22,New Delhi,"Worldmark 1, Aerocity",28.5503472000,77.1217952900,Rs.,Premium,Biryani,Good,No Delivery
Street Foods by Punjab Grill,"Street Food, North Indian",600,0,0,2,3.2,Average,17,New Delhi,"Worldmark 1, Aerocity",28.5503472000,77.1217952900,Rs.,Moderate,Street Food,Average,No Delivery
Bonitos - The Uppal,"Continental, Thai, Chinese, North Indian",3000,0,1,4,3.2,Average,28,New Delhi,"The Uppal, Aerocity",28.5351830000,77.1018470000,Rs.,Luxury,Continental,Average,No Delivery
Oval Bar - JW Marriott New Delhi,Finger Food,4500,0,1,4,3.3,Average,15,New Delhi,JW Marriott New Delhi,28.5528950000,77.1214450000,Rs.,Luxury,Finger Food,Average,No Delivery
Wow! Momo,Chinese,350,0,0,1,3.1,Average,8,New Delhi,"Worldmark 1, Aerocity",28.5503472000,77.1217952900,Rs.,Budget,Chinese,Average,No Delivery
Chidya Ghar - Roseate House,Continental,3700,0,0,4,2.9,Average,4,New Delhi,"Roseate House, Aerocity",28.5508020000,77.1205330000,Rs.,Luxury,Continental,Poor,No Delivery
The Hub -  ibis New Delhi,North Indian,1500,0,1,3,3.1,Average,9,New Delhi,"ibis New Delhi, Aerocity",28.5513980000,77.1231270000,Rs.,Premium,North Indian,Average,No Delivery
Juniper Bar - Andaz Delhi,"North Indian, European",1500,0,1,3,3.0,Average,4,New Delhi,"Andaz Delhi, Aerocity",28.5548066660,77.1218108472,Rs.,Premium,North Indian,Average,No Delivery
Krips Restaurant,"North Indian, Chinese",1000,1,1,3,3.5,Good,193,New Delhi,"Basant Lok Market, Vasant Vihar",28.5572001550,77.1638877690,Rs.,Premium,North Indian,Good,Has Delivery
Eggspectation - Jaypee Vasant Continental,"European, Continental, North Indian",3000,0,1,4,3.6,Good,162,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",28.5565034668,77.1644376228,Rs.,Luxury,European,Good,No Delivery
Mezbaan Restaurant,"North Indian, Mughlai, Chinese",600,1,0,2,3.4,Average,135,New Delhi,Munirka,28.5557779000,77.1744294000,Rs.,Moderate,North Indian,Average,Has Delivery
Costa Coffee,Cafe,600,0,0,2,3.6,Good,80,New Delhi,Vasant Vihar,28.5572230000,77.1643680000,Rs.,Moderate,Cafe,Good,No Delivery
